k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg,mpc_iteration,angle_ok,step_ok,stable_counter
2.0000000000000000e+01,2.0000000000000000e+00,-1.5584553419084139e+01,2.4421463993401256e+00,-2.1904053449184224e+00,1.3992468163525973e+02,-1.2550098168672297e+02,2.2848490676710700e-01,-6.5362320673249630e-01,1.3091220840195334e+01,-3.7449851137578932e+01,7.8621704735153877e-16,9.6257310856621416e-16,1.5727469854672357e-16,3.1463302480920171e-16,2.2204460492503131e-16,7.7715611723760958e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4379406037881681e-01,7.6519880280941133e-01,-1.7031150828778541e-01,1.3459157072181156e+00,1.1806703006179902e+00,6.7647425221852984e+01,6.9240786318444236e-01,3.9672048262140279e+01,-4.0075318364740269e+01,5.4499018313277006e+01,1.3091220840195339e+01,-3.7449851137578946e+01,1.9000000000000000e+01,False,False,0
2.1000000000000000e+01,2.1000000000000001e+00,-3.6402834668488051e+00,2.8247485537482158e+00,-3.0041756834568831e+00,1.6184617031545594e+02,-1.7212658757790896e+02,3.8260215440809026e-01,-8.1377033853846048e-01,2.1921488680196216e+01,-4.6625605891185991e+01,1.0559177468645885e-15,9.9441000668380873e-16,3.1415023350846040e-16,2.2253488195453670e-16,3.3306690738754696e-16,5.5511151231257827e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.1156930688861029e-01,9.5022343004419285e-01,1.7458441241180972e-01,1.9407965665087246e+00,3.4536011246947512e-01,1.9787676856664358e+01,8.9922554036388014e-01,5.1521828293221184e+01,-1.8153829684544057e+01,7.8734124220910298e+00,2.1921488680196212e+01,-4.6625605891185977e+01,2.0000000000000000e+01,False,False,0
2.2000000000000000e+01,2.2000000000000002e+00,8.0793319927798439e+00,3.0035073976243170e+00,3.0171419473245402e+00,1.7208829762019454e+02,1.7286949977357870e+02,1.7875884387610136e-01,-2.6186767639816338e-01,1.0242127304738609e+01,-1.5003912648512362e+01,1.1341327323768756e-15,8.6279305903998833e-16,1.1000773388587493e-17,2.6827806367795090e-17,4.4408920985006262e-16,5.5511151231257827e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3764684983161238e-01,9.9048137020916938e-01,2.6177655647335274e-01,1.9827473708002588e+00,1.8589114073825930e-01,1.0650777813174660e+01,3.1706372262700366e-01,1.8166413143233893e+01,-7.9117023798054573e+00,-7.1305002264213027e+00,1.0242127304738601e+01,-1.5003912648512358e+01,2.1000000000000000e+01,False,False,0
2.3000000000000000e+01,2.3000000000000003e+00,2.6740846691076596e+00,3.0483991801240111e+00,3.0192409917085903e+00,1.7466040729224628e+02,1.7298976615779540e+02,4.4891782499694222e-02,2.0990443840499581e-03,2.5721096720517278e+00,1.2026638421670009e-01,8.9609054993504108e-16,8.7795049047176506e-16,3.1401975974174229e-16,2.6183225994208455e-19,1.1102230246251565e-16,5.5511151231257827e-16,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,9.3058634115452454e-02,9.9566063024334062e-01,2.1510525845378387e-01,1.9881849984518083e+00,1.5380166664152115e-01,8.8121863806371845e+00,4.4940829134830829e-02,2.5749198372443733e+00,-5.3395927077537335e+00,-7.0102338422045971e+00,2.5721096720517247e+00,1.2026638421670616e-01,2.2000000000000000e+01,False,False,0
2.4000000000000000e+01,2.4000000000000004e+00,3.8274207073111854e-01,3.0687594384947463e+00,3.0516824893047318e+00,1.7582696416668529e+02,1.7484852705113812e+02,2.0360258370734938e-02,3.2441497596141809e-02,1.1665568744390178e+00,1.8587608933427313e+00,8.9914660834155035e-16,9.6479795387491730e-16,6.4962811727822611e-19,1.5705216459909346e-16,2.2204460492503131e-16,6.6613381477509392e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,7.2768839389194248e-02,9.9734883366550831e-01,1.6255791609883002e-01,1.9933096369623202e+00,1.1570875015679696e-01,6.6296230367181685e+00,3.8301317042675725e-02,2.1945038163378108e+00,-4.1730358333147013e+00,-5.1514729488618789e+00,1.1665568744390065e+00,1.8587608933427429e+00,2.3000000000000000e+01,False,False,0
2.5000000000000000e+01,2.5000000000000000e+00,-5.9963270809594543e-02,3.0846377447814941e+00,3.0758388273857196e+00,1.7673672410273198e+02,1.7623258327166985e+02,1.5878306286747985e-02,2.4156338080987435e-02,9.0975993604670147e-01,1.3840562205317302e+00,1.0004822020546930e-15,6.5651890508953124e-16,1.5702214075212986e-16,2.0749811864525745e-18,2.2204460492503131e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.6924121494922188e-02,9.9837850757717705e-01,1.2263057611002753e-01,1.9962175035188636e+00,8.6990961012263598e-02,4.9842149217897962e+00,2.8907599001278723e-02,1.6562834186298645e+00,-3.2632758972680103e+00,-3.7674167283301330e+00,9.0975993604669092e-01,1.3840562205317208e+00,2.4000000000000000e+01,False,True,0
2.6000000000000000e+01,2.6000000000000001e+00,-7.3460780430359085e-02,3.0975861891798493e+00,3.0925181456717259e+00,1.7747861531801755e+02,1.7718823781461342e+02,1.2948444398355175e-02,1.6679318286006366e-02,7.4189121528556401e-01,9.5565454294354291e-01,1.0021848980802056e-15,6.5603866180221373e-16,1.5700935171421889e-16,2.0153847414624491e-18,2.2204460492503131e-16,4.4408920985006262e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3992262193390697e-02,9.9903187179744568e-01,9.3047074733732485e-02,1.9978279597786872e+00,6.5915675201457927e-02,3.7766899927986817e+00,2.1115441525651337e-02,1.2098256819751017e+00,-2.5213846819824459e+00,-2.8117621853865922e+00,7.4189121528556456e-01,9.5565454294354080e-01,2.5000000000000000e+01,False,True,0
2.7000000000000000e+01,2.7000000000000002e+00,-4.9680416700870131e-02,3.1077516012041890e+00,3.1046634965809230e+00,1.7806105052402376e+02,1.7788411516241578e+02,1.0165412024339735e-02,1.2145350909197173e-02,5.8243520600620535e-01,6.9587734780237520e-01,1.2516061877650105e-15,5.0943236548027286e-16,3.1401871642348038e-16,3.1401936017600398e-16,5.5511151231257827e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3834593531684602e-02,9.9942744623136381e-01,7.0755357345465106e-02,1.9987456424028371e+00,5.0089714153216933e-02,2.8699292179960363e+00,1.5838091751600818e-02,9.0745581290768829e-01,-1.9389494759762402e+00,-2.1158848375842210e+00,5.8243520600620546e-01,6.9587734780237132e-01,2.6000000000000000e+01,False,True,0
2.8000000000000000e+01,2.8000000000000003e+00,-3.6361994953130916e-02,3.1155963790916483e+00,3.1137661597637858e+00,1.7851052318819274e+02,1.7840565934512293e+02,7.8447778874593515e-03,9.1026631828627098e-03,4.4947266416897474e-01,5.2154418270715397e-01,1.1468277333831899e-15,6.5683664017241882e-16,2.2715426752954537e-19,1.5701181657152780e-16,4.4408920985006262e-16,3.3306690738754696e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5993346522789743e-02,9.9966211588543563e-01,5.3816249414988082e-02,1.9992749839872079e+00,3.8080441783568071e-02,2.1818485961920837e+00,1.2016614212173749e-02,6.8850127839447861e-01,-1.4894768118072685e+00,-1.5943406548770622e+00,4.4947266416897164e-01,5.2154418270715863e-01,2.7000000000000000e+01,False,True,0
2.9000000000000000e+01,2.9000000000000004e+00,-2.8762228567092131e-02,3.1216258016319745e+00,3.1206348858530397e+00,1.7885598365265446e+02,1.7879920836066859e+02,6.0294225403258687e-03,6.8687260892540073e-03,3.4546046446171969e-01,3.9354901554565380e-01,1.1110128082040384e-15,5.6641177942112987e-16,3.1401889372554208e-16,4.1802051649275122e-19,2.2204460492503131e-16,4.4408920985006262e-16,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,1.9965525269558193e-02,9.9980066903393827e-01,4.0921758833503866e-02,1.9995810630579527e+00,2.8946557750674753e-02,1.6585155905453648e+00,9.1396572287468711e-03,5.2366378540342973e-01,-1.1440163473455343e+00,-1.2007916393314129e+00,3.4546046446170886e-01,3.9354901554564936e-01,2.8000000000000000e+01,True,True,1
3.0000000000000000e+01,3.0000000000000000e+00,-2.3242120349236377e-02,3.1262579475012098e+00,3.1258185684587643e+00,1.7912138606105060e+02,1.7909621149631198e+02,4.6321458692355775e-03,5.1836826057245905e-03,2.6540240839615670e-01,2.9700313564339620e-01,1.0434678435501740e-15,4.7012447814384867e-16,3.1401850282689617e-16,1.2252196545036825e-19,1.1102230246251565e-16,3.3306690738754696e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5334105094754160e-02,9.9988242569861330e-01,3.1107536077979520e-02,1.9997580173974092e+00,2.1999431186832542e-02,1.2604745586939843e+00,6.9517868717883791e-03,3.9830804782792728e-01,-8.7861393894939199e-01,-9.0378850368801911e-01,2.6540240839616780e-01,2.9700313564339381e-01,2.9000000000000000e+01,True,True,2
